PATRIC ID	RefSeq Locus Tag	Product
fig|208963.12.peg.3366	PA14_41140	ABC transporter premease protein PA1809
fig|208963.12.peg.3367	PA14_41150	ABC transporter periplasmic substrate-binding protein PA1808
fig|208963.12.peg.3368	PA14_41160	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
fig|208963.12.peg.3369	PA14_41170	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)
fig|208963.12.peg.3370	PA14_41190	Peptidyl-prolyl cis-trans isomerase PpiD (EC 5.2.1.8)
fig|208963.12.peg.3371	PA14_41210	DNA-binding protein HU-beta
fig|208963.12.peg.3372	PA14_41220	ATP-dependent protease La (EC 3.4.21.53) Type I
fig|208963.12.peg.3373	PA14_41230	ATP-dependent Clp protease ATP-binding subunit ClpX
fig|208963.12.peg.3374	PA14_41240	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
fig|208963.12.peg.3375	PA14_41250	Cell division trigger factor (EC 5.2.1.8)
fig|208963.12.peg.3376		FIG00961140: hypothetical protein
fig|208963.12.peg.3377	PA14_41260	Putative two-component response regulator
fig|208963.12.peg.3378	PA14_41270	Sensory histidine kinase in two-component regulatory system with RstA
fig|208963.12.peg.3379	PA14_41280	Beta-lactamase class C and other penicillin binding proteins
fig|208963.12.peg.3380	PA14_41290	FIG00957180: hypothetical protein
fig|208963.12.peg.3381		hypothetical protein
fig|208963.12.peg.3382	PA14_41300	FIG00955622: hypothetical protein
fig|208963.12.peg.3383	PA14_41350	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)
fig|208963.12.peg.3384	PA14_41360	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
fig|208963.12.peg.3385	PA14_41380	Glutaminyl-tRNA synthetase (EC 6.1.1.18)
fig|208963.12.peg.3386	PA14_41390	Peptidyl-prolyl cis-trans isomerase PpiB (EC 5.2.1.8)
fig|208963.12.peg.3387	PA14_41400	"UDP-2,3-diacylglucosamine diphosphatase (EC 3.6.1.54)"
fig|208963.12.peg.3388	PA14_41420	hypothetical protein
fig|208963.12.peg.3389	PA14_41430	tRNA-(ms[2]io[6]A)-hydroxylase (EC 1.-.-.-)
fig|208963.12.peg.3390	PA14_41440	Universal stress protein family 7
fig|208963.12.peg.3391	PA14_41450	hypothetical protein
fig|208963.12.peg.3392		FIG00956436: hypothetical protein
fig|208963.12.peg.3393	PA14_41470	Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)
fig|208963.12.peg.3394	PA14_41480	"Nitrate ABC transporter, nitrate-binding protein"
fig|208963.12.peg.3395	PA14_41490	Response regulator NasT
fig|208963.12.peg.3396	PA14_41500	"lyase, putative"
fig|208963.12.peg.3397		FIG00964155: hypothetical protein
fig|208963.12.peg.3398	PA14_41510	Nitrate/nitrite transporter
fig|208963.12.peg.3399	PA14_41520	Putative serine/threonine protein kinase
fig|208963.12.peg.3400	PA14_41530	Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)
fig|208963.12.peg.3401	PA14_41540	Nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4)
fig|208963.12.peg.3402	PA14_41560	Assimilatory nitrate reductase large subunit (EC 1.7.99.4)
fig|208963.12.peg.3403	PA14_41563	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)
fig|208963.12.peg.3404	PA14_41570	Major porin and structural outer membrane porin OprF
fig|208963.12.peg.3405	PA14_41575	"probable sigma-70 factor, ECF subfamily"
fig|208963.12.peg.3406	PA14_41590	Small-conductance mechanosensitive channel
fig|208963.12.peg.3407	PA14_41610	CrfX protein
fig|208963.12.peg.3408	PA14_41630	Magnesium and cobalt transport protein CorA
fig|208963.12.peg.3409	PA14_41640	Ribonuclease E inhibitor RraA
fig|208963.12.peg.3410	PA14_41650	Esterase/lipase/thioesterase family protein
fig|208963.12.peg.3411	PA14_41670	Phosphoenolpyruvate synthase (EC 2.7.9.2)
fig|208963.12.peg.3412		FIG00959101: hypothetical protein
fig|208963.12.peg.3413	PA14_41680	Phosphoenolpyruvate synthase regulatory protein
fig|208963.12.peg.3414	PA14_41690	FIG008443: hypothetical protein
fig|208963.12.peg.3415	PA14_41710	FIG139976: hypothetical protein
fig|208963.12.peg.3416	PA14_41730	FIG002781: Alpha-L-glutamate ligase family protein
fig|208963.12.peg.3417	PA14_41740	hypothetical protein
fig|208963.12.peg.3418	PA14_41750	Long-chain fatty acid transport protein
fig|208963.12.peg.3419	PA14_41760	FIG00973752: TolA-like membrane protein
fig|208963.12.peg.3420	PA14_41780	Bacteriocin resistance protein; peptidase C39
fig|208963.12.peg.3421	PA14_41790	hypothetical protein
fig|208963.12.peg.3422		FIG00953910: hypothetical protein
fig|208963.12.peg.3423	PA14_41800	Transcriptional regulator
fig|208963.12.peg.3424	PA14_41810	Transcriptional regulator
fig|208963.12.peg.3425	PA14_41820	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
fig|208963.12.peg.3426	PA14_41830	Homoserine kinase (EC 2.7.1.39) @ Phosphoserine phosphatase (EC 3.1.3.3)
fig|208963.12.peg.3427	PA14_41840	Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10)
fig|208963.12.peg.3428	PA14_41860	hypothetical protein
fig|208963.12.peg.3429	PA14_41870	Cys regulon transcriptional activator CysB
fig|208963.12.peg.3430	PA14_41880	Universal stress protein UspA and related nucleotide-binding proteins
fig|208963.12.peg.3431	PA14_41900	2-dehydropantoate 2-reductase (EC 1.1.1.169)
fig|208963.12.peg.3432	PA14_41910	Thiol-disulfide isomerase and thioredoxins
fig|208963.12.peg.3433	PA14_41920	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)
fig|208963.12.peg.3434	PA14_41930	hypothetical protein
fig|208963.12.peg.3435	PA14_41950	probable enoyl-CoA hydratase/isomerase
fig|208963.12.peg.3436	PA14_41960	hypothetical protein
fig|208963.12.peg.3437	PA14_41970	hypothetical protein
fig|208963.12.peg.3438	PA14_41980	hypothetical protein
fig|208963.12.peg.3439	PA14_41990	"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
fig|208963.12.peg.3440	PA14_42000	hypothetical protein
fig|208963.12.peg.3441	PA14_42010	"Glutamine amidotransferase, class I"
fig|208963.12.peg.3442	PA14_42020	Glutaredoxin
fig|208963.12.peg.3443	PA14_42030	hypothetical protein
fig|208963.12.peg.3444	PA14_42050	"Uncharacterized oxidoreductase, YajO family"
fig|208963.12.peg.3445	PA14_42060	"Transcriptional regulator, LysR family"
fig|208963.12.peg.3446	PA14_42080	Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)
fig|208963.12.peg.3447	PA14_42090	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
fig|208963.12.peg.3448	PA14_42100	putative membrane protein
fig|208963.12.peg.3449	PA14_42120	"Cytochrome c, mono- and diheme variants"
fig|208963.12.peg.3450	PA14_42130	hypothetical protein
fig|208963.12.peg.3451	PA14_42140	"Protein containing transglutaminase-like domain, putative cysteine protease"
fig|208963.12.peg.3452	PA14_42150	Protein containing domains DUF403
fig|208963.12.peg.3453	PA14_42160	"Protein containing domains DUF404, DUF407"
fig|208963.12.peg.3454		FIG00965950: hypothetical protein
fig|208963.12.peg.3455	PA14_42180	"Glutamine amidotransferase, class I"
fig|208963.12.peg.3456	PA14_42200	"Superfamily II DNA/RNA helicases, SNF2 family"
fig|208963.12.peg.3457	PA14_42220	Sensory box/GGDEF family protein
fig|208963.12.peg.3458	PA14_42230	Periplasmic beta-glucosidase (EC 3.2.1.21)
fig|208963.12.peg.3459	PA14_42250	Type III secretion cytoplasmic protein (YscL)
fig|208963.12.peg.3460	PA14_42260	Type III secretion cytoplasmic protein (YscK)
fig|208963.12.peg.3461	PA14_42270	"Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)"
fig|208963.12.peg.3462	PA14_42280	Type III secretion cytoplasmic protein (YscI)
fig|208963.12.peg.3463	PA14_42290	"Type III secretion effector protein (YopR, encoded by YscH)"
fig|208963.12.peg.3464	PA14_42300	Type III secretion spans bacterial envelope protein (YscG)
fig|208963.12.peg.3465	PA14_42310	Type III secretion cytoplasmic protein (YscF)
fig|208963.12.peg.3466	PA14_42340	"Type III secretion inner membrane protein (YscD,homologous to flagellar export components)"
fig|208963.12.peg.3467	PA14_42350	"Type III secretion outermembrane pore forming protein (YscC,MxiD,HrcC, InvG)"
fig|208963.12.peg.3468	PA14_42360	"Type III secretion chaperone protein for YopN (SycN,YscB)"
fig|208963.12.peg.3469	PA14_42380	Type III secretion negative regulator (LscZ)
fig|208963.12.peg.3470		hypothetical protein
fig|208963.12.peg.3471	PA14_42390	"Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid)"
fig|208963.12.peg.3472	PA14_42400	"Type III secretion transporter lipoprotein (YscW,VirG)"
fig|208963.12.peg.3473	PA14_42410	FIG00962212: hypothetical protein
fig|208963.12.peg.3474	PA14_42430	"Unknown, probably involved in type III secretion"
fig|208963.12.peg.3475	PA14_42440	Type III secretion host injection and negative regulator protein (YopD)
fig|208963.12.peg.3476	PA14_42450	Type III secretion host injection protein (YopB)
fig|208963.12.peg.3477	PA14_42460	Type III secretion chaperone protein for YopD (SycD)
fig|208963.12.peg.3478	PA14_42470	"Type III secretion cytoplasmic LcrG inhibitor (LcrV,secretion and targeting control protein, V antigen)"
fig|208963.12.peg.3479	PA14_42480	Type III secretion cytoplasmic plug protein (LcrG)
fig|208963.12.peg.3480	PA14_42490	Type III secretion low calcium response protein (LcrR)
fig|208963.12.peg.3481	PA14_42500	"Type III secretion inner membrane channel protein (LcrD,HrcV,EscV,SsaV)"
fig|208963.12.peg.3482	PA14_42510	Chaperone protein YscY (Yop proteins translocation protein Y)
fig|208963.12.peg.3483	PA14_42520	Type III secretion protein SctX
fig|208963.12.peg.3484	PA14_42530	Type III secretion chaperone SycN
fig|208963.12.peg.3485	PA14_42540	Type III secretion outermembrane negative regulator of secretion (TyeA)
fig|208963.12.peg.3486	PA14_42550	"Type III secretion outermembrane contact sensing protein (YopN,Yop4b,LcrE)"
fig|208963.12.peg.3487	PA14_42570	"Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)"
fig|208963.12.peg.3488	PA14_42580	Type III secretion spans bacterial envelope protein (YscO)
fig|208963.12.peg.3489	PA14_42600	Type III secretion protein (YscP)
fig|208963.12.peg.3490	PA14_42610	"Type III secretion inner membrane protein (YscQ,homologous to flagellar export components)"
fig|208963.12.peg.3491	PA14_42620	"Type III secretion inner membrane protein (YscR,SpaR,HrcR,EscR,homologous to flagellar export components)"
fig|208963.12.peg.3492	PA14_42630	"Type III secretion inner membrane protein (YscS,homologous to flagellar export components)"
fig|208963.12.peg.3493	PA14_42640	"Type III secretion inner membrane protein (YscT,HrcT,SpaR,EscT,EpaR1,homologous to flagellar export components)"
fig|208963.12.peg.3494	PA14_42660	"Type III secretion inner membrane protein (YscU,SpaS,EscU,HrcU,SsaU, homologous to flagellar export components)"
fig|208963.12.peg.3495	PA14_42670	"Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily"
fig|208963.12.peg.3496	PA14_42680	hypothetical protein
fig|208963.12.peg.3497	PA14_42690	Spermidine synthase (EC 2.5.1.16)
fig|208963.12.peg.3498	PA14_42700	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)
fig|208963.12.peg.3499	PA14_42710	hypothetical protein
fig|208963.12.peg.3500	PA14_42720	"2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)"
fig|208963.12.peg.3501	PA14_42730	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)"
fig|208963.12.peg.3502	PA14_42740	Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)
fig|208963.12.peg.3503	PA14_42750	Nucleoside:H+ symporter:Major facilitator superfamily
fig|208963.12.peg.3504	PA14_42760	Chorismate synthase (EC 4.2.3.5)
fig|208963.12.peg.3505	PA14_42770	"Hydrolase, alpha/beta fold family"
fig|208963.12.peg.3506	PA14_42780	hypothetical protein
fig|208963.12.peg.3507	PA14_42790	Ribosomal protein L3 N(5)-glutamine methyltransferase (EC 2.1.1.298)
fig|208963.12.peg.3508	PA14_42820	Isochorismatase (EC 3.3.2.1)
fig|208963.12.peg.3509	PA14_42830	hypothetical protein
fig|208963.12.peg.3510	PA14_42840	Smr domain protein
fig|208963.12.peg.3511	PA14_42850	GTP cyclohydrolase I (EC 3.5.4.16) type 1
fig|208963.12.peg.3512	PA14_42860	Methyl-accepting chemotaxis protein
fig|208963.12.peg.3513	PA14_42870	Glyoxalase family protein
fig|208963.12.peg.3514	PA14_42880	Serine/threonine protein kinase
fig|208963.12.peg.3515	PA14_42890	Serine/threonine protein phosphatase (EC 3.1.3.16)
fig|208963.12.peg.3516	PA14_42900	IcmF-related protein
fig|208963.12.peg.3517	PA14_42910	"Outer membrane protein ImpK/VasF, OmpA/MotB domain"
fig|208963.12.peg.3518	PA14_42920	Uncharacterized protein ImpJ/VasE
fig|208963.12.peg.3519	PA14_42940	Type VI secretion lipoprotein/VasD
fig|208963.12.peg.3520	PA14_42950	Uncharacterized protein ImpI/VasC
fig|208963.12.peg.3521	PA14_42960	hypothetical protein
fig|208963.12.peg.3522	PA14_42970	sigma-54-dependent transcriptional regulator
fig|208963.12.peg.3523	PA14_42980	ClpB protein
fig|208963.12.peg.3524	PA14_42990	Uncharacterized protein ImpH/VasB
fig|208963.12.peg.3525	PA14_43000	Protein ImpG/VasA
fig|208963.12.peg.3526	PA14_43020	Uncharacterized protein similar to VCA0109
fig|208963.12.peg.3527	PA14_43030	Uncharacterized protein ImpC
fig|208963.12.peg.3528	PA14_43040	Uncharacterized protein ImpB
fig|208963.12.peg.3529	PA14_43050	Uncharacterized protein ImpA
fig|208963.12.peg.3530	PA14_43070	secreted protein Hcp
fig|208963.12.peg.3531	PA14_43080	VgrG protein
fig|208963.12.peg.3532	PA14_43090	hypothetical protein
fig|208963.12.peg.3533	PA14_43100	Rhs-family protein
fig|208963.12.peg.3534	PA14_43110	"Glutathione S-transferase, unnamed subgroup (EC 2.5.1.18)"
fig|208963.12.peg.3535	PA14_43130	"GntR family transcriptional regulator PA1654 @ Transcriptional regulator, GntR family domain"
fig|208963.12.peg.3536	PA14_43140	"Transcriptional regulator, MarR family"
fig|208963.12.peg.3537	PA14_43150	hypothetical protein
fig|208963.12.peg.3538	PA14_43160	Benzoate transport protein
fig|208963.12.peg.3539	PA14_43170	Putative transporter
fig|208963.12.peg.3540	PA14_43180	"Oxidoreductase, short-chain dehydrogenase/reductase family"
fig|208963.12.peg.3541	PA14_43190	Putative NADP-dependent oxidoreductase PA1648
fig|208963.12.peg.3542	PA14_43200	Sulfate permease and related transporters (MFS superfamily)
fig|208963.12.peg.3543	PA14_43220	probable chemotaxis transducer
fig|208963.12.peg.3544	PA14_43230	hypothetical protein
fig|208963.12.peg.3545	PA14_43240	flavin reductase domain protein FMN-binding protein
fig|208963.12.peg.3546	PA14_43250	Gfa-like protein
fig|208963.12.peg.3547	PA14_43270	Selenophosphate-dependent tRNA 2-selenouridine synthase
fig|208963.12.peg.3548	PA14_43280	"Selenide,water dikinase (EC 2.7.9.3)"
fig|208963.12.peg.3549	PA14_43290	putative lipoprotein
fig|208963.12.peg.3550	PA14_43300	FIG00613342: Bacterial patatin-like phospholipase domain containing protein
fig|208963.12.peg.3551	PA14_43310	hypothetical protein
fig|208963.12.peg.3552	PA14_43320	Glutaminase (EC 3.5.1.2)
fig|208963.12.peg.3553	PA14_43340	DNA-binding response regulator KdpE
fig|208963.12.peg.3554	PA14_43350	Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)
fig|208963.12.peg.3555	PA14_43370	Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)
fig|208963.12.peg.3556	PA14_43380	Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)
fig|208963.12.peg.3557	PA14_43400	Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)
fig|208963.12.peg.3558		FIG00959844: hypothetical protein
fig|208963.12.peg.3559	PA14_43420	Butyryl-CoA dehydrogenase (EC 1.3.8.1)
fig|208963.12.peg.3560	PA14_43430	"Transcriptional regulator, IclR family"
fig|208963.12.peg.3561	PA14_43440	Enoyl-CoA hydratase [branched-chain amino acid degradation] (EC 4.2.1.17)
fig|208963.12.peg.3562	PA14_43460	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)
fig|208963.12.peg.3563	PA14_43480	"Transcriptional regulator, GntR family"
fig|208963.12.peg.3564	PA14_43490	Probable MFS transporter
fig|208963.12.peg.3565	PA14_43510	putative membrane protein
fig|208963.12.peg.3566	PA14_43520	"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit"
fig|208963.12.peg.3567	PA14_43530	Glutathione S-transferase (EC 2.5.1.18)
fig|208963.12.peg.3568	PA14_43540	Putative hydrolase
fig|208963.12.peg.3569	PA14_43550	Predicted hydrolase or acyltransferase PA1621
fig|208963.12.peg.3570	PA14_43570	Threonine efflux protein
fig|208963.12.peg.3571	PA14_43580	"Transcriptional regulator, AraC family"
fig|208963.12.peg.3572	PA14_43600	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in menaquinone biosynthesis"
fig|208963.12.peg.3573	PA14_43610	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
fig|208963.12.peg.3574	PA14_43620	Phosphohistidine phosphatase SixA
fig|208963.12.peg.3575	PA14_43630	Putative lipase
fig|208963.12.peg.3576	PA14_43640	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
fig|208963.12.peg.3577	PA14_43650	"Outer membrane receptor proteins, mostly Fe transport"
fig|208963.12.peg.3578	PA14_43660	hypothetical protein
fig|208963.12.peg.3579	PA14_43670	probable sensor/response regulator hybrid
fig|208963.12.peg.3580	PA14_43680	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabA form (EC 4.2.1.59) @ Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)"
fig|208963.12.peg.3581	PA14_43690	"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)"
fig|208963.12.peg.3582	PA14_43710	Methyl-accepting chemotaxis protein
fig|208963.12.peg.3583	PA14_43720	"Transcriptional regulator, HxlR family"
fig|208963.12.peg.3584	PA14_43730	Helicase subunit of the DNA excision repair complex
fig|208963.12.peg.3585	PA14_43740	"5-oxo-L-prolinase, putative"
fig|208963.12.peg.3586	PA14_43760	hypothetical protein
fig|208963.12.peg.3587	PA14_43770	"Transcriptional regulator, MarR family"
fig|208963.12.peg.3588	PA14_43780	Isoquinoline 1-oxidoreductase alpha subunit (EC 1.3.99.16)
fig|208963.12.peg.3589	PA14_43790	Isoquinoline 1-oxidoreductase beta subunit (EC 1.3.99.16)
fig|208963.12.peg.3590	PA14_43810	Isoquinoline 1-oxidoreductase beta subunit (EC 1.3.99.16)
fig|208963.12.peg.3591	PA14_43820	"Transcriptional regulator, AraC family"
fig|208963.12.peg.3592	PA14_43830	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)
fig|208963.12.peg.3593	PA14_43840	Dienelactone hydrolase family protein
fig|208963.12.peg.3594	PA14_43850	Chaperone protein HtpG
fig|208963.12.peg.3595		hypothetical protein
fig|208963.12.peg.3596	PA14_43870	Permeases of the major facilitator superfamily
fig|208963.12.peg.3597	PA14_43880	hypothetical protein
fig|208963.12.peg.3598	PA14_43890	hypothetical protein
fig|208963.12.peg.3599	PA14_43900	hypothetical protein
fig|208963.12.peg.3600	PA14_43910	hypothetical protein
fig|208963.12.peg.3601	PA14_43920	Branched-chain amino acid transport system carrier protein
fig|208963.12.peg.3602	PA14_43940	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)
fig|208963.12.peg.3603	PA14_43950	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)
fig|208963.12.peg.3604	PA14_43970	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)
fig|208963.12.peg.3605	PA14_44000	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)
fig|208963.12.peg.3606	PA14_44010	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)
fig|208963.12.peg.3607	PA14_44020	Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1)
fig|208963.12.peg.3608	PA14_44030	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)
fig|208963.12.peg.3609	PA14_44050	Succinate dehydrogenase hydrophobic membrane anchor protein
fig|208963.12.peg.3610	PA14_44060	Succinate dehydrogenase cytochrome b-556 subunit
fig|208963.12.peg.3611	PA14_44070	Citrate synthase (si) (EC 2.3.3.1)
fig|208963.12.peg.3612	PA14_44080	Collagenase and related proteases
fig|208963.12.peg.3613	PA14_44090	proteinase inhibitor
fig|208963.12.peg.3614	PA14_44100	hypothetical protein
fig|208963.12.peg.3615	PA14_44110	hypothetical protein
fig|208963.12.peg.3616	PA14_44120	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
fig|208963.12.peg.3617	PA14_44130	"Inhibitor of the KinA pathway to sporulation, predicted exonuclease"
fig|208963.12.peg.3618	PA14_44140	hypothetical protein
fig|208963.12.peg.3619	PA14_44150	Putative periplasmic protein
fig|208963.12.peg.3620	PA14_44160	Uncharacterized protein SO_3077
fig|208963.12.peg.3621	PA14_44170	hypothetical protein
fig|208963.12.peg.3622	PA14_44180	Regulatory protein CysB
fig|208963.12.peg.3623		FIG00957129: hypothetical protein
fig|208963.12.peg.3624	PA14_44190	Glycerol-3-phosphate transporter
fig|208963.12.peg.3625	PA14_44200	"RidA/YER057c/UK114 superfamily, group 2, YoaB-like protein"
fig|208963.12.peg.3626	PA14_44210	FAD dependent oxidoreductase
fig|208963.12.peg.3627	PA14_44230	FIG00960681: hypothetical protein
fig|208963.12.peg.3628	PA14_44240	glutamine synthetase family protein
fig|208963.12.peg.3629	PA14_44260	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)
fig|208963.12.peg.3630	PA14_44270	tRNA 5-methylaminomethyl-2-thiouridine synthesis sulfur carrier protein TusA
fig|208963.12.peg.3631	PA14_44280	23S rRNA (cytidine(2498)-2'-O)-methyltransferase (EC 2.1.1.186)
fig|208963.12.peg.3632	PA14_44290	Aconitate hydratase (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)
fig|208963.12.peg.3633	PA14_44300	Aerotaxis receptor Aer
fig|208963.12.peg.3634	PA14_44311	Nucleoside-diphosphate-sugar epimerases
fig|208963.12.peg.3635	PA14_44320	Esterase/lipase/thioesterase family active site
fig|208963.12.peg.3636		hypothetical protein
fig|208963.12.peg.3637	PA14_44340	Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1)
fig|208963.12.peg.3638	PA14_44350	Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)
fig|208963.12.peg.3639		Cytochrome c oxidase (cbb3-type) subunit CcoQ (EC 1.9.3.1)
fig|208963.12.peg.3640	PA14_44360	Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)
fig|208963.12.peg.3641	PA14_44370	Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1)
fig|208963.12.peg.3642	PA14_44380	Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)
fig|208963.12.peg.3643	PA14_44390	Cytochrome c oxidase (cbb3-type) subunit CcoQ (EC 1.9.3.1)
fig|208963.12.peg.3644	PA14_44400	Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)
fig|208963.12.peg.3645		hypothetical protein
fig|208963.12.peg.3646	PA14_44420	"Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation"
fig|208963.12.peg.3647	PA14_44430	"Putative analog of CcoH, COG3198"
fig|208963.12.peg.3648	PA14_44440	Type cbb3 cytochrome oxidase biogenesis protein CcoI; Copper-translocating P-type ATPase (EC 3.6.3.4)
fig|208963.12.peg.3649	PA14_44450	"Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion"
fig|208963.12.peg.3650	PA14_44460	"Heavy-metal-associated domain (N-terminus) and membrane-bounded cytochrome biogenesis cycZ-like domain, possible membrane copper tolerance protein"
fig|208963.12.peg.3651	PA14_44470	"Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)"
fig|208963.12.peg.3652	PA14_44480	hypothetical protein
fig|208963.12.peg.3653	PA14_44490	Fumarate and nitrate reduction regulatory protein
fig|208963.12.peg.3654	PA14_44500	Adenine phosphoribosyltransferase (EC 2.4.2.7)
fig|208963.12.peg.3655	PA14_44510	hypothetical protein
fig|208963.12.peg.3656	PA14_44520	Spermidine export protein MdtJ
fig|208963.12.peg.3657	PA14_44540	"Transcriptional regulator, AcrR family"
fig|208963.12.peg.3658		FIG00954436: hypothetical protein
fig|208963.12.peg.3659	PA14_44560	Cyclohexanone monooxygenase (EC 1.14.13.22)
fig|208963.12.peg.3660	PA14_44570	"Oxidoreductase, short-chain dehydrogenase/reductase family (EC 1.1.1.-)"
fig|208963.12.peg.3661	PA14_44580	Colicin E2 tolerance protein CbrC-like protein
fig|208963.12.peg.3662	PA14_44590	"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)"
fig|208963.12.peg.3663	PA14_44610	Recombination protein RecR
fig|208963.12.peg.3664	PA14_44620	FIG000557: hypothetical protein co-occurring with RecR
fig|208963.12.peg.3665	PA14_44630	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
fig|208963.12.peg.3666	PA14_44640	hypothetical protein
fig|208963.12.peg.3667	PA14_44650	hypothetical protein
fig|208963.12.peg.3668	PA14_44660	DNA ligase (NAD(+)) (EC 6.5.1.2)
fig|208963.12.peg.3669	PA14_44670	Cell division protein ZipA
fig|208963.12.peg.3670	PA14_44680	Chromosome partition protein smc
fig|208963.12.peg.3671	PA14_44690	"Transcriptional regulator, GntR family"
fig|208963.12.peg.3672	PA14_44700	Alkane-1 monooxygenase (EC 1.14.15.3)
fig|208963.12.peg.3673	PA14_44710	"Xanthine dehydrogenase iron-sulfur subunit (EC 1.17.1.4) / Xanthine dehydrogenase, FAD binding subunit (EC 1.17.1.4)"
fig|208963.12.peg.3674	PA14_44740	"Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)"
fig|208963.12.peg.3675	PA14_44760	"Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family"
fig|208963.12.peg.3676	PA14_44770	Guanine deaminase (EC 3.5.4.3)
fig|208963.12.peg.3677	PA14_44780	"Transcriptional regulator, GntR family"
fig|208963.12.peg.3678		FIG00966001: hypothetical protein
fig|208963.12.peg.3679	PA14_44800	Xanthine/uracil/thiamine/ascorbate permease family protein
fig|208963.12.peg.3680	PA14_44820	5-hydroxyisourate hydrolase (EC 3.5.2.17)
fig|208963.12.peg.3681	PA14_44830	Uricase (urate oxidase) (EC 1.7.3.3)
